"Reported Trait","Mapped Trait",Tissues,"Gene Symbol","Ensembl ID","Gene Type",Method/Software,"Effect Size",P-value,Publication
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Sigmoid Colon",HCN3,ENSG00000143630.9,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.28E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Cells Transformed Fibroblast",PTGER4,ENSG00000171522.5,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.28E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",MLX,ENSG00000108788.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.29E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Cells Transformed Fibroblast",TNNT2,ENSG00000118194.18,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.29E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","EBV-Transformed Lymphocyte",RP1-167A14.2,ENSG00000227598.1,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.30E-08,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,IL1R2,ENSG00000115590.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.32E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Putamen Basal Ganglia",PSMC3IP,ENSG00000131470.14,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.33E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","EBV-Transformed Lymphocyte",ORMDL3,ENSG00000172057.9,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.33E-13,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,MROH3P,ENSG00000233217.2,transcribed_unitary_pseudogene,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.33E-13,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,RP11-324I22.3,ENSG00000269952.1,sense_intronic,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.34E-11,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,C3orf18,ENSG00000088543.14,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.34E-12,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,SLC26A3,ENSG00000091138.12,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.35E-14,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Adrenal Gland",STAT5A,ENSG00000126561.16,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.37E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",TRAF3IP2-AS1,ENSG00000231889.7,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.37E-08,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,C2,ENSG00000166278.14,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.40E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",RP11-305L7.7,ENSG00000273381.1,lincRNA,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.41E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,C1orf141,ENSG00000203963.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.41E-55,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Substantia Nigra",EIF3C,ENSG00000184110.14,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.42E-09,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,TAP2,ENSG00000204267.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.44E-15,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Adrenal Gland",HLA-DRA,ENSG00000204287.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.45E-14,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",CUL2,ENSG00000108094.14,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.46E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",LIF,ENSG00000128342.4,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.47E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,NOB1,ENSG00000141101.12,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.48E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Ovary,ATXN2L,ENSG00000168488.18,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.48E-09,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",PNKD,ENSG00000127838.13,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.50E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",BRD7,ENSG00000166164.15,protein-coding,"Summary data-based Mendelian Randomization(SMR)",'-,3.50E-08,TWASP000113
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,THADA,ENSG00000115970.18,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.51E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Cells Transformed Fibroblast",STARD3,ENSG00000131748.15,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.52E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",PRKAR2A-AS1,ENSG00000224424.7,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.54E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hypothalamus",GPR65,ENSG00000140030.5,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.55E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Putamen Basal Ganglia",NPIPB7,ENSG00000233232.6,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.56E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Left Ventricle",PNMT,ENSG00000141744.3,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.59E-07,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Uterus,GSDMA,ENSG00000167914.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.62E-08,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Vagina,RP1-239B22.5,ENSG00000260196.1,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.63E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",ZFP90,ENSG00000184939.15,protein-coding,"Summary data-based Mendelian Randomization(SMR)",'-,3.63E-06,TWASP000113
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,RP11-1348G14.6,ENSG00000270424.1,processed_pseudogene,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.63E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,PUSL1,ENSG00000169972.11,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.64E-05,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",ADO,ENSG00000181915.4,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.65E-09,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,RP11-324I22.2,ENSG00000233200.1,lincRNA,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.66E-10,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",RTEL1,ENSG00000258366.7,protein-coding,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.66E-15,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",STAT3,ENSG00000168610.14,protein-coding,"Summary data-based Mendelian Randomization(SMR)",'-,3.68E-08,TWASP000113
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cortex",APEH,ENSG00000164062.12,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.68E-14,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,IP6K2,ENSG00000068745.14,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.70E-17,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,RP11-263K19.4,ENSG00000231064.7,antisense,"Probabilistic Transcriptome-Wide Association(PTWAS)",'-,3.73E-06,TWASP000141
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Left Ventricle",MST1R,ENSG00000164078.12,protein-coding,Summary-MultiXcan(S-MultiXcan),'-,3.74E-17,TWASP000056
