"Reported Trait","Mapped Trait",Tissues,"Gene Symbol","Ensembl ID","Gene Type",Method/Software,"Effect Size",P-value,Publication
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",KIF21B,ENSG00000116852.14,protein-coding,Summary-PrediXcan(S-PrediXcan),5.71E+00,1.13E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",HLA-DRB5,ENSG00000198502.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.71E+00,1.13E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",KIF21B,ENSG00000116852.14,protein-coding,Summary-PrediXcan(S-PrediXcan),5.71E+00,1.13E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",SULT1A1,ENSG00000196502.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.71E+00,1.13E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Epithelial Tissue",LCNL1,ENSG00000214402.6,protein-coding,S-PrediXcan,'-1.29E+00,1.13E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,SGF29,ENSG00000176476.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.09E+00,1.13E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Ovary,HLA-DRB5,ENSG00000198502.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.45E+00,1.13E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Anterior Cingulate Cortex",RP11-973H7.1,ENSG00000260302.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",6.45E+00,1.13E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",ERAP2,ENSG00000164308.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.45E+00,1.13E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",NPIPB7,ENSG00000233232.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.11E+00,1.13E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",HSPA1L,ENSG00000204390.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.11E+00,1.13E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,SH2B1,ENSG00000178188.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.42E+00,1.13E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",AF064858.8,ENSG00000235888.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",8.56E+00,1.13E-17,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),8.82E+00,1.13E-18,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),8.82E+00,1.13E-18,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),9.08E+00,1.13E-19,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),9.08E+00,1.13E-19,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",PSMB9,ENSG00000240065.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.39E+00,1.14E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",BECN1,ENSG00000126581.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.87E+00,1.14E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",ATF6B,ENSG00000213676.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.87E+00,1.14E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,GTF2I,ENSG00000263001.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.87E+00,1.14E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,NUPR1,ENSG00000176046.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.30E+00,1.14E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Frontal Cortex",PARK7,ENSG00000116288.12,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.30E+00,1.14E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,NUPR1,ENSG00000176046.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.30E+00,1.14E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",APOM,ENSG00000204444.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.71E+00,1.14E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,GSDMA,ENSG00000167914.11,protein-coding,Summary-PrediXcan(S-PrediXcan),5.71E+00,1.14E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,GSDMA,ENSG00000167914.11,protein-coding,Summary-PrediXcan(S-PrediXcan),5.71E+00,1.14E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",RP11-1348G14.4,ENSG00000251417.2,lincRNA,FUSION,5.71E+00,1.14E-08,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",TUFM,ENSG00000178952.10,protein-coding,Summary-PrediXcan(S-PrediXcan),6.09E+00,1.14E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",TUFM,ENSG00000178952.10,protein-coding,Summary-PrediXcan(S-PrediXcan),6.09E+00,1.14E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,TUFM,ENSG00000178952.10,protein-coding,FUSION,'-6.09E+00,1.14E-09,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","EBV-Transformed Lymphocyte",CREM,ENSG00000095794.19,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.79E+00,1.14E-11,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","EBV-Transformed Lymphocyte",CREM,ENSG00000095794.19,protein-coding,Summary-PrediXcan(S-PrediXcan),'-6.79E+00,1.14E-11,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",NPIPB9,ENSG00000196993.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.79E+00,1.14E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,GSDMA,ENSG00000167914.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.42E+00,1.14E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",NPIPB7,ENSG00000233232.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.72E+00,1.14E-14,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",TAP2,ENSG00000204267.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",8.01E+00,1.14E-15,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,HLA-DQB1,ENSG00000179344.16,protein-coding,Summary-PrediXcan(S-PrediXcan),8.29E+00,1.14E-16,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,HLA-DQB1,ENSG00000179344.16,protein-coding,Summary-PrediXcan(S-PrediXcan),8.29E+00,1.14E-16,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Fibroblasts,ATG16L1,ENSG00000085978.21,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",8.56E+00,1.14E-17,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,GNAT1,ENSG00000114349.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",9.07E+00,1.14E-19,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hippocampus",HLA-DOB,ENSG00000241106.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-9.80E+00,1.14E-22,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Substantia Nigra",HLA-DOB,ENSG00000241106.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.00E+01,1.14E-23,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",QRICH1,ENSG00000198218.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.15E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",IRF6,ENSG00000117595.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.15E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",RNASET2,ENSG00000026297.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.71E+00,1.15E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pituitary,PDLIM4,ENSG00000131435.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.71E+00,1.15E-08,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pituitary,PDLIM4,ENSG00000131435.12,protein-coding,Summary-PrediXcan(S-PrediXcan),'-5.71E+00,1.15E-08,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,TUFM,ENSG00000178952.10,protein-coding,Summary-PrediXcan(S-PrediXcan),6.09E+00,1.15E-09,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,TUFM,ENSG00000178952.10,protein-coding,Summary-PrediXcan(S-PrediXcan),6.09E+00,1.15E-09,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,RP11-1348G14.4,ENSG00000251417.2,lincRNA,FUSION,6.09E+00,1.15E-09,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellar Hemisphere",IL18R1,ENSG00000115604.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.09E+00,1.15E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,PSMB9,ENSG00000240065.7,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.09E+00,1.15E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",HLA-B,ENSG00000234745.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.09E+00,1.15E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",ERAP2,ENSG00000164308.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.45E+00,1.15E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",DDAH2,ENSG00000213722.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.79E+00,1.15E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",NPIPB9,ENSG00000196993.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.11E+00,1.15E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",C2,ENSG00000166278.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.72E+00,1.15E-14,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Cerebellum",MST1R,ENSG00000164078.12,protein-coding,FUSION,7.72E+00,1.15E-14,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),8.82E+00,1.15E-18,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),8.82E+00,1.15E-18,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine-Terminal Ileum",HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.05E+01,1.15E-25,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine-Terminal Ileum",HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.05E+01,1.15E-25,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Whole Blood",CARD9,ENSG00000187796.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",1.21E+01,1.15E-33,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",HLA-DQB1,ENSG00000179344.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",1.28E+01,1.15E-37,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Hypothalamus",GPX4,ENSG00000167468.16,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.39E+00,1.16E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Mesenchymal Tissue",RP3-395M20.12,ENSG00000272449.1,lincRNA,S-PrediXcan,5.20E+00,1.16E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",GBA,ENSG00000177628.15,protein-coding,FUSION,4.86E+00,1.16E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",TMBIM1,ENSG00000135926.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.30E+00,1.16E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",LAT,ENSG00000213658.11,protein-coding,Summary-PrediXcan(S-PrediXcan),5.30E+00,1.16E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Vagina,HORMAD1,ENSG00000143452.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.30E+00,1.16E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",LAT,ENSG00000213658.11,protein-coding,Summary-PrediXcan(S-PrediXcan),5.30E+00,1.16E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Spleen,THBS3,ENSG00000169231.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.44E+00,1.16E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Colon,TUFM,ENSG00000178952.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.44E+00,1.16E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",LST1,ENSG00000204482.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.79E+00,1.16E-11,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Amygdala,NPIPB9,ENSG00000196993.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-7.42E+00,1.16E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Cells Transformed Fibroblast",HLA-DRB5,ENSG00000198502.5,protein-coding,Summary-PrediXcan(S-PrediXcan),8.56E+00,1.16E-17,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Cells Transformed Fibroblast",HLA-DRB5,ENSG00000198502.5,protein-coding,Summary-PrediXcan(S-PrediXcan),8.56E+00,1.16E-17,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),9.07E+00,1.16E-19,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),9.07E+00,1.16E-19,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),9.32E+00,1.16E-20,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,HLA-DRB1,ENSG00000196126.11,protein-coding,Summary-PrediXcan(S-PrediXcan),9.32E+00,1.16E-20,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",WDR6,ENSG00000178252.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.86E+00,1.17E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",RP11-92G12.3,ENSG00000260088.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.86E+00,1.17E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Blood,ADCY3,ENSG00000138031.14,protein-coding,FUSION,4.86E+00,1.17E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",MFSD2B,ENSG00000205639.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.17E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",ERAP2,ENSG00000164308.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.30E+00,1.17E-07,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Vagina,HLA-DQA1,ENSG00000196735.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.30E+00,1.17E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Sun Exposed",ERAP2,ENSG00000164308.16,protein-coding,Summary-PrediXcan(S-PrediXcan),5.30E+00,1.17E-07,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Lung,RBM6,ENSG00000004534.14,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",5.70E+00,1.17E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Small Intestine",LINC00243,ENSG00000214894.6,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",'-6.08E+00,1.17E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Artery Tibia",CCDC116,ENSG00000161180.10,protein-coding,FUSION,6.08E+00,1.17E-09,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",RGS14,ENSG00000169220.17,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.08E+00,1.17E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Testis,NOTCH4,ENSG00000204301.6,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.08E+00,1.17E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,HIC2,ENSG00000169635.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.08E+00,1.17E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",HLA-DQB1,ENSG00000179344.16,protein-coding,Summary-PrediXcan(S-PrediXcan),6.44E+00,1.17E-10,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Breast Mammary Tissue",HLA-DQB1,ENSG00000179344.16,protein-coding,Summary-PrediXcan(S-PrediXcan),6.44E+00,1.17E-10,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",HLA-DQB1,ENSG00000179344.16,protein-coding,Summary-PrediXcan(S-PrediXcan),7.42E+00,1.17E-13,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Adrenal Gland",SULT1A2,ENSG00000197165.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.42E+00,1.17E-13,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",HLA-DQB1,ENSG00000179344.16,protein-coding,Summary-PrediXcan(S-PrediXcan),7.42E+00,1.17E-13,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",HLA-DQB2,ENSG00000232629.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-8.56E+00,1.17E-17,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Aortic Artery",HLA-DQB2,ENSG00000232629.8,protein-coding,Summary-PrediXcan(S-PrediXcan),'-8.56E+00,1.17E-17,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Atrial Appendage",MST1,ENSG00000173531.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",8.56E+00,1.17E-17,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Spinal Cord",HLA-DQA1,ENSG00000196735.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",1.11E+01,1.17E-28,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Lymphocyte Cell",CCL20,ENSG00000115009.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.38E+00,1.18E-05,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,EMILIN3,ENSG00000183798.4,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.86E+00,1.18E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Liver,GTF2I,ENSG00000263001.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.18E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Left Ventricle",GTF2IRD2,ENSG00000196275.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.18E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Colon,SEC24C,ENSG00000176986.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.18E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Transverse Colon",GSDMB,ENSG00000073605.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.70E+00,1.18E-08,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Muscularis",LNPEP,ENSG00000113441.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",6.08E+00,1.18E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Spinal Cord",RNF123,ENSG00000164068.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.08E+00,1.18E-09,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Spinal Cord",DLD,ENSG00000091140.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.44E+00,1.18E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,MICB,ENSG00000204516.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-6.44E+00,1.18E-10,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Atrial Appendage",NICN1,ENSG00000145029.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.11E+00,1.18E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Caudate Basal Ganglia",SULT1A2,ENSG00000197165.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",7.11E+00,1.18E-12,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",IL12RB2,ENSG00000081985.10,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.00E+01,1.18E-23,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.13E+01,1.18E-29,TWASP000056
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Stomach,HLA-DQA2,ENSG00000237541.3,protein-coding,Summary-PrediXcan(S-PrediXcan),'-1.13E+01,1.18E-29,TWASP000054
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pituitary,HLA-DRB1,ENSG00000196126.11,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",1.35E+01,1.18E-41,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Heart Atrial Appendage",HLA-DQA2,ENSG00000237541.3,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-1.35E+01,1.18E-41,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Muscle Skeletal",ARPC2,ENSG00000163466.15,protein-coding,FUSION,4.86E+00,1.19E-06,TWASP000003
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Esophagus Mucosa",CSPG5,ENSG00000114646.9,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Nerve Tibial",RP11-493E12.1,ENSG00000271889.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Adipose,CISH,ENSG00000114737.15,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Putamen Basal Ganglia",GTF2I,ENSG00000263001.5,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Rectum,TAP2,ENSG00000204267.13,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Thyroid,RP11-92G12.3,ENSG00000260088.1,lincRNA,"Summary-Based PrediXcan(S-PrediXcan)",4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease",Pancreas,P4HA2,ENSG00000072682.18,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Anterior Cingulate Cortex",RMI2,ENSG00000175643.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-4.86E+00,1.19E-06,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Brain Nucleus Accumbens",ANKRD65,ENSG00000235098.8,protein-coding,"Summary-Based PrediXcan(S-PrediXcan)",'-5.30E+00,1.19E-07,TWASP000186
"Inflammatory Bowel Disease","Inflammatory Bowel Disease","Skin Not Sun Exposed",CDHR4,ENSG00000187492.8,protein-coding,Summary-PrediXcan(S-PrediXcan),5.29E+00,1.19E-07,TWASP000054
